bias,scenario,model,temperature,sample_size_1,sample_size_2,bias_detected,bias_detected_mod
anchoring,0_normal,claude-3-haiku,0.2,100,100,0.0,0.0
anchoring,0_normal,claude-3-haiku,0.7,100,100,0.5167981681810448,0.5167981681810448
anchoring,0_normal,claude-3-haiku,1.0,100,100,0.8854362278607385,0.8854362278607385
anchoring,0_normal,claude-3-haiku,1.3,100,100,0.8648671225874438,0.8648671225874438
anchoring,0_normal,claude-3-haiku,1.8,100,100,0.9542514100810284,0.9542514100810284
anchoring,0_normal,claude-3.5-sonnet,0.2,100,100,0.0,0.0
anchoring,0_normal,claude-3.5-sonnet,0.7,100,100,0.0,0.0
anchoring,0_normal,claude-3.5-sonnet,1.0,100,100,0.18033392693348263,0.18033392693348263
anchoring,0_normal,claude-3.5-sonnet,1.3,100,100,0.14213381090376256,0.14213381090376256
anchoring,0_normal,claude-3.5-sonnet,1.8,100,100,0.23224433809720918,0.23224433809720918
anchoring,0_normal,gemma2,0.2,100,100,0.0,0.0
anchoring,0_normal,gemma2,0.7,100,100,2.188386883812945,1.0
anchoring,0_normal,gemma2,1,100,100,4.334626953463016,1.0
anchoring,0_normal,gemma2,1.3,100,100,4.115476148556393,1.0
anchoring,0_normal,gemma2,1.8,100,100,4.52239437119147,1.0
anchoring,0_normal,gemma2:27b,0.2,100,100,-0.22548405921437753,0.0
anchoring,0_normal,gemma2:27b,0.7,100,100,-0.40179115951530336,0.0
anchoring,0_normal,gemma2:27b,1,100,100,0.0792901995678964,0.0792901995678964
anchoring,0_normal,gemma2:27b,1.3,100,100,0.15073906571402468,0.15073906571402468
anchoring,0_normal,gemma2:27b,1.8,100,100,0.1783087096224272,0.1783087096224272
anchoring,0_normal,gpt-4o,0.2,100,100,0.0,0.0
anchoring,0_normal,gpt-4o,0.7,100,100,0.14213381090374572,0.14213381090374572
anchoring,0_normal,gpt-4o,1,100,100,0.0,0.0
anchoring,0_normal,gpt-4o,1.3,100,100,0.061342767213173145,0.061342767213173145
anchoring,0_normal,gpt-4o,1.8,100,100,0.40409833317490274,0.40409833317490274
anchoring,0_normal,gpt-4o-mini,0.2,100,100,0.0,0.0
anchoring,0_normal,gpt-4o-mini,0.7,100,100,12.830920413573097,1.0
anchoring,0_normal,gpt-4o-mini,1,100,100,12.648960949713697,1.0
anchoring,0_normal,gpt-4o-mini,1.3,100,100,4.545660791070209,1.0
anchoring,0_normal,gpt-4o-mini,1.8,100,100,3.076758668640281,1.0
anchoring,0_normal,llama3.1,0.2,100,100,0.4388358899603172,0.4388358899603172
anchoring,0_normal,llama3.1,0.7,100,100,1.0355015748226266,1.0
anchoring,0_normal,llama3.1,1,100,100,0.4561288959538732,0.4561288959538732
anchoring,0_normal,llama3.1,1.3,100,100,0.34268110419899844,0.34268110419899844
anchoring,0_normal,llama3.1,1.8,100,100,0.5526802777887738,0.5526802777887738
anchoring,0_normal,llama3.1:70b,0.2,100,100,1.672149582447854,1.0
anchoring,0_normal,llama3.1:70b,0.7,100,100,1.1153570038162386,1.0
anchoring,0_normal,llama3.1:70b,1,100,100,1.3269354036527639,1.0
anchoring,0_normal,llama3.1:70b,1.3,100,100,1.1473220981141667,1.0
anchoring,0_normal,llama3.1:70b,1.8,100,100,1.1428751174923604,1.0
anchoring,0_normal,phi3.5,0.2,100,100,2.079276264405592,1.0
anchoring,0_normal,phi3.5,0.7,100,100,2.186591400676289,1.0
anchoring,0_normal,phi3.5,1,100,100,2.261368415784795,1.0
anchoring,0_normal,phi3.5,1.3,100,100,2.298328760808394,1.0
anchoring,0_normal,phi3.5,1.8,100,100,2.0218569200433483,1.0
anchoring,0_normal,phi3:medium,0.2,100,100,2.1395992268925212,1.0
anchoring,0_normal,phi3:medium,0.7,100,100,1.2242838900112545,1.0
anchoring,0_normal,phi3:medium,1,100,100,0.7481412052331545,0.7481412052331545
anchoring,0_normal,phi3:medium,1.3,100,100,0.9077953015958249,0.9077953015958249
anchoring,0_normal,phi3:medium,1.8,100,100,0.9320379575181962,0.9320379575181962
anchoring,1_persona,claude-3-haiku,0.2,100,100,0.0,0.0
anchoring,1_persona,claude-3-haiku,0.7,100,100,0.8343456098554625,0.8343456098554625
anchoring,1_persona,claude-3-haiku,1.0,100,100,0.9851480653312403,0.9851480653312403
anchoring,1_persona,claude-3-haiku,1.3,100,100,1.262908697167326,1.0
anchoring,1_persona,claude-3-haiku,1.8,100,100,1.275902916668073,1.0
anchoring,1_persona,claude-3.5-sonnet,0.2,100,100,0.0,0.0
anchoring,1_persona,claude-3.5-sonnet,0.7,100,100,20.40508139995466,1.0
anchoring,1_persona,claude-3.5-sonnet,1.0,100,100,14.010856226420234,1.0
anchoring,1_persona,claude-3.5-sonnet,1.3,100,100,10.300430122067525,1.0
anchoring,1_persona,claude-3.5-sonnet,1.8,100,100,7.785835486623288,1.0
anchoring,1_persona,gemma2,0.2,100,100,8.287636715716596,1.0
anchoring,1_persona,gemma2,0.7,100,100,4.714975589718357,1.0
anchoring,1_persona,gemma2,1,100,100,3.722286257940518,1.0
anchoring,1_persona,gemma2,1.3,100,100,4.064290378717164,1.0
anchoring,1_persona,gemma2,1.8,100,100,4.667119235302921,1.0
anchoring,1_persona,gemma2:27b,0.2,100,100,0.0,0.0
anchoring,1_persona,gemma2:27b,0.7,100,100,7.170627582682552,1.0
anchoring,1_persona,gemma2:27b,1,100,100,4.19832100732847,1.0
anchoring,1_persona,gemma2:27b,1.3,100,100,3.535271031185661,1.0
